Ligand,SMILE,PDBCode
1a28_decoy_7,CC1(C)CO[C@@]2(CC[C@H]3CCC[C@@]3(C)C2(C)C)[C@H]1C(=O)C1CC1,1a28
1a28_decoy_8,CCC(=O)[C@@H]1CC[C@]2([C@H]3CCC[C@H](C)C3)CC3(CCC3)OC[C@H]12,1a28
1a28_decoy_9,CC(C)[C@H]1CC[C@@]2(CC1)C[C@@]1(CCO2)OCC[C@@]12CCC[C@@H]2C,1a28
1a4k_decoy_1,Cc1n[nH]c(C)c1NC(=O)C(=Cc1ccco1)C(=O)Nc1cc(F)oc(=O)c1,1a4k
1a4k_decoy_10,Cc1nnc(CC(C)(C)[C@@H](COC(=O)C2=CC=NC2=N)Nc2ccc(F)cc2Cl)o1,1a4k
1a4k_decoy_2,CNCc1nc(C(=O)OC)sc1C(=O)Nc1ccc(F)cc1C1=CC(=O)NC1=O,1a4k
1a4k_decoy_3,CC(C)C1=NN=C(C(=O)Nc2ccc3c(c2)OC(C(Cl)=CC(C=O)=NCF)=CN3)C1,1a4k
1a4k_decoy_4,CCNC(=O)C1=C(NCc2nc(C)no2)C[C@@H](C(=O)N(C)CC2=C(F)CC=C2Cl)C1,1a4k
1a4k_decoy_5,C=CCNC(=O)C(C=C1CN(C)CCO1)=C(C(=O)NC1=CC=CNN1C)C(F)=CCl,1a4k
1a4k_decoy_6,CN(CCC(=O)Nc1ncco1)C(=O)c1cn(C=CC(Cl)=C(F)C2=CCC=C2)cn1,1a4k
1a4k_decoy_7,CCOc1cc(NC(=O)CN2CCCC2=O)cc(Nc2nc(C)c(F)c(CCl)n2)c1,1a4k
1a4k_decoy_8,C=C(F)C1=CCC[C@@H]1CC(=O)Nc1ccc(C(=O)N(CCl)c2ccn(C)n2)[nH]c1=O,1a4k
1a4k_decoy_9,CN1C(=O)N(CCC(=O)Nc2ccc(Cl)cc2NCC2=NC=C=C2F)C(=O)C1(C)C,1a4k
1a4r_decoy_1,C[C@@]1(COP(O)O)NC(=O)[C@@](COO)(c2nc[nH]n2)O1,1a4r
1a4r_decoy_10,O=C(OCOP(O)O)O[C@@]1(c2nc[nH]n2)COCCN1,1a4r
1a4r_decoy_2,CN(CC1=NO[C@@](CO)(CC(=O)O)O1)C(=N)NP(O)O,1a4r
1a4r_decoy_3,O=C(CNC(=O)N1C=NO[C@@H](O)C1=O)NCCP(O)O,1a4r
1a4r_decoy_4,N=C(NP(O)O)N1C=C(NC[C@@H]2OCOO2)COC1=O,1a4r
1a4r_decoy_5,N=C(NC[C@@H]1OCOC1=NC(=O)OCC(=O)O)NP(O)O,1a4r
1a4r_decoy_6,N=C(NCC(=O)N1C[C@H](O)[C@@H](OC(=O)O)C1)NP(O)O,1a4r
1a4r_decoy_7,COC(=O)[C@H](N)[C@H](OOC[C@@H](O)P(O)O)c1nc[nH]n1,1a4r
1a4r_decoy_8,N=C(NP(O)O)N1CC(=O)NC1=CO[C@H](CO)C(=O)O,1a4r
1a4r_decoy_9,CN(C[C@]1(O)COOC1=O)C(=O)CNC(=N)NP(O)O,1a4r
1a4w_decoy_1,CC[C@H]1C(=O)N([C@@H](C)C(=O)O[C@H](C)[C@H](O)[C@H](O)c2cc3ccc(S)cc3o2)C(=O)C1=C(NCC1=COCC1)N(C)CC,1a4w
1a4w_decoy_10,CCN(C[C@H]1CCOC1)C(=O)[C@H](CSC)NC(=O)[C@@H]1C=C2O[C@](O)(C(=O)c3oc4cccc(C)c4c3CCO)CC2=N1,1a4w
1a4w_decoy_2,C=CC[C@H]1CC(=CCC)CC[C@@H]1CNC(=O)[C@H]1Oc2[nH][nH]c(=O)c2C1=CC(C)=CC(=O)OCC1=CC(O[SH]=O)=COC1,1a4w
1a4w_decoy_3,C=CC(=O)C1=C2[C@H](COCCOc3ccccc3OCC(=O)N3CSNC3=O)COC[C@@H]2N[C@H]2C(=O)C3=CCC=C3[C@@H]12,1a4w
1a4w_decoy_4,CC(=O)C[C@]1(OCCS)CC(=O)C[C@H](c2ccc(Cn3c(=O)[nH]c4ccc(NC(=O)[C@H]5CCO[C@@H]5C)cc4c3=O)o2)C1,1a4w
1a4w_decoy_5,C[C@@H]1O[C@H]2C[C@@H](C(=O)c3ccc([C@H](CCO)C(=O)C(=O)Nc4ccc(N(CCC#N)C(=O)CO)cc4)cc3)[C@@H]1[S@](=O)C2,1a4w
1a4w_decoy_6,C=CN1CSC[C@H]1CC(=O)O[C@@H](C(=O)NC1(C(=O)OCC(=O)Nc2ccc3c(c2)CCO3)CCCC1)[C@H]1CCCCO1,1a4w
1a4w_decoy_7,COc1ccc([C@@H](O)[C@H](C)N2C(=S)N(C)C(=O)C2=CC(=O)NC[C@@H]2CCCO2)c(OCCO[C@@H]2CCCC[C@@H]2O)c1,1a4w
1a4w_decoy_8,Cc1ccc(O[C@H](C(=O)NC2=CC=C[C@H](C)OC2=O)C(=O)OCC(=O)NC[C@@H]2OCCN3C[C@H](C)S[C@@H](C)[C@@H]23)cc1C,1a4w
1a4w_decoy_9,O=C(Nc1cccc(Oc2ccccc2OC[C@@H](O)CO[C@H]2CCS[C@H](C(=O)NC[C@@H]3CCOC3)C2)n1)c1ccoc1,1a4w
1a69_decoy_1,CC(=CCl)O[C@H](C(=O)Nn1ccc(Cl)c1)[C@H](O)C(=O)O,1a69
1a69_decoy_10,CC(O)=C([O-])C(C(=O)NC[C@H](C)O)=C(Cl)C(C)=[N+](O)Cl,1a69
1a69_decoy_2,NC(=O)COC(=O)OC1=C[C@@H](Cl)C(=CC=CCl)OC1,1a69
1a69_decoy_3,[O-][N+](CC(=CCO)CO)=NC=C(Cl)C1=C(Cl)CCO1,1a69
1a69_decoy_4,C=C(C(CNC(=O)C1=COCC[C@@H]1O)=C(Cl)Cl)[N+](=O)[O-],1a69
1a69_decoy_5,O=C(CCNC(=O)OC[C@@H]1CC[C@H](CCl)O1)C[NH2+][O-],1a69
1a69_decoy_6,CNC(=O)C(Cl)=CC(=CC=C(Cl)[C@H](CO)[N+](=O)[O-])OC,1a69
1a69_decoy_7,CC=C(COC(=O)NC(CO)=[N+]([O-])CCO)C(Cl)=CCl,1a69
1a69_decoy_8,O=C(OCCC[N+](=O)[O-])C(=CC1=CCOC=C1Cl)NCl,1a69
1a69_decoy_9,CC=C(C=C(Cl)Cl)[C@H](CC[C@@H](CO)NC(=O)O)[N+](=O)[O-],1a69
1a99_decoy_1,CC=C([NH3+])C[NH3+],1a99
1a99_decoy_10,O=C1CCCC[C@@H](C=Cc2ccc(C3=CO[N@+]([O-])(O)O3)o2)N1,1a99
1a99_decoy_2,NC=CC=C[NH3+],1a99
1a99_decoy_3,NCC=CC=[NH2+],1a99
1a99_decoy_4,C=CC([NH3+])=CN,1a99
1a99_decoy_5,C=C(N)C=C[NH3+],1a99
1a99_decoy_6,NCC=CC[NH3+],1a99
1a99_decoy_7,C=C[NH+]=CCN,1a99
1a99_decoy_8,C=CC=C(N)[NH3+],1a99
1a99_decoy_9,NC(N)=C=C[NH3+],1a99
1a9q_decoy_1,OC[C@H]1COCC=CC(=CS)[C@H](O)[C@@H](O)COC1,1a9q
1a9q_decoy_10,C=C1OC[C@@](O)([C@@H](O)CCCOC)CSC1=CO,1a9q
1a9q_decoy_2,CC(C)(C)OC(=O)C(O)=C[C@@H]1CSC[C@@]1(O)CO,1a9q
1a9q_decoy_3,CC[C@](O)(C1=CCO[S@](=O)C(O)=C1)[C@@H]1CCCO1,1a9q
1a9q_decoy_4,CC1(C)O[C@@H](O)C(O)=CCC=CSC=C[C@H]1O,1a9q
1a9q_decoy_5,CC(C)C1=C([C@H](O)C2=CCOC(S)=C2O)OCO1,1a9q
1a9q_decoy_6,OC[C@H]1C=CC[C@](O)(CO)CSCCOCC1,1a9q
1a9q_decoy_7,O[C@H]1COCC[C@@]1(O)CSCC1=CCOC=C1,1a9q
1a9q_decoy_8,OCC(O)=CC(O)=C[C@@H](CO)SC1=CCOC=C1,1a9q
1a9q_decoy_9,C=C(O)C(=CCO)[C@@H](O)[C@]1(O)CSC[C@H](OC)C1,1a9q
1aaq_decoy_1,CC(=O)Nc1ccc(CN2C[C@@H](C)c3cc(Cl)ccc32)cc1NC(=O)COc1ccc(Oc2cccc(Cl)c2)cc1,1aaq
1aaq_decoy_10,CCCC[C@H](O)CSCc1cc2c(c(OCc3c(C)[nH]c4c3=C3NC(=O)NC[C@@]3(O)C[C@@H](C)C=4CC)c1)OCCC2,1aaq
1aaq_decoy_2,Cc1oc2ccc(OCC(=O)N[C@H]3C=C[C@H](C(=O)NC(C=CCCl)=Cc4cc5c(Cl)cccc5cn4)C3)cc2c1C,1aaq
1aaq_decoy_3,C=CC1=C(Cl)C2=C(CCN(C(=O)c3cc(NC(=O)c4cc(C)ccc4Cl)c4c(c3OCC)OCCC4)[C@H]2CC)NC1,1aaq
1aaq_decoy_4,COc1ccc2c(c1)[C@@H](C(N)=O)CCN2C(=O)C=CC1=Cc2[nH]c([C@H](O)[C@H](C)C[SH]=O)c(CCC(C)(C)C)c2CC1,1aaq
1aaq_decoy_5,CC=CC(C=O)=CC(=Cc1ccc2c(c1O)[C@H]1CCCC[C@H]1N2)C(=O)N(c1ccc(C[S@@](C)=O)cc1)[C@H](C)C(N)=O,1aaq
1aaq_decoy_6,CC(=O)c1ccc([C@](C)(CC(C)C)NC(=O)CNC(=O)Nc2ccc3c(c2)[C@@H](C2=CC[S@](=O)C=C2)CC3=O)c(C)c1,1aaq
1aaq_decoy_7,CCCNC(=O)c1c(C)cc(=O)n(CC)c1C1=CC=CC(=Cc2ccc(C)cc2C)[C@H]1C(C(=O)O)=C1CC[S@@](=O)N1,1aaq
1aaq_decoy_8,Cc1cc(C)c(C)c(NC(=O)c2cccc(NC(=O)c3c(O)cccc3CN(C)CC[C@@H]3CC[S@@](=O)NC3=O)c2)c1,1aaq
1aaq_decoy_9,CCS[C@H](C)c1c(C)c(C=CC(=O)Oc2ccc(C)cc2)c(C)n(C[C@H](O)c2cc3c(cc2N)NC(=O)CC3)c1=O,1aaq
1add_decoy_1,O=C(NCCO)[C@@H]1CC[C@@](CO)([C@@H](O)CO)O[C@@H]1O,1add
1add_decoy_10,CCS(=O)(=O)N[C@H]1CCCC=C1C=CC(C)=O,1add
1add_decoy_2,NC(=O)[C@H](O[C@H](OCO)[C@@H](O)CCO)[C@@H]1COC[C@H]1O,1add
1add_decoy_3,CC[C@@](C)(O)CNS(=O)(=O)CCC1=CCC=C1,1add
1add_decoy_4,COC[C@@H](O)CNC(=O)CC1=CCSC=C1C,1add
1add_decoy_5,CC(=O)NC(=O)[C@H](CC1=CCC=C1)SCCO,1add
1add_decoy_6,C[C@@H](OC1=CCSC=C1)C(=O)NC(C)(C)CO,1add
1add_decoy_7,CCOC(=O)[C@@]1(N)CCC[C@@H](SCCOC)C1,1add
1add_decoy_8,C=CCSc1cc(=O)[nH]c(C)c1OC[C@H](C)O,1add
1add_decoy_9,CCOC(=O)C1=C(N)SCC1=CC[C@@H](C)CO,1add
1adl_decoy_1,N=C(Cl)C=C1C(=O)CCC1=C(O)C1CCCC1,1adl
1adl_decoy_10,CC(Cl)=C(C)c1ccc(C2(O)CCOCC2)[nH]1,1adl
1adl_decoy_2,C=C1CC(=CC)CN(CC(C)(O)O)CC1=CCl,1adl
1adl_decoy_3,O=C1C2=CCOC=C2C(=CCCl)CN1C1CC1,1adl
1adl_decoy_4,CC=C1C=C(C(=O)N2CCCC2)C(O)=C[C@H]1Cl,1adl
1adl_decoy_5,C=C1C[C@H](NC(=O)OC2CCCCC2)C=C1Cl,1adl
1adl_decoy_6,COc1cc(Cl)c2[nH]c3ccccc3c2c1O,1adl
1adl_decoy_7,Oc1ccc2c(c1)[C@H](O)c1cc(Cl)ccc1N2,1adl
1adl_decoy_8,Clc1cc2c(cc1[C@@H]1CCCCCN1)OCO2,1adl
1adl_decoy_9,CC(Cl)=CC=C1Cc2cc(CO)c(=O)[nH]c2C1,1adl
1ado_decoy_1,C[C@H]1CN(C)C(=O)[C@H](OOO)C(=O)NC(=O)CC(=O)OO1,1ado
1ado_decoy_10,C[C@@]1(C(=O)N2OOCC2=O)C(=O)OCCN1C(=O)COO,1ado
1ado_decoy_2,O=C(O[C@]1(C(=O)NOOOO)CCOC1)N1CC[C@H](O)C1,1ado
1ado_decoy_3,O=C1COCCNC(=O)OC(=CCOO)[C@@H](O)OC(=O)N1,1ado
1ado_decoy_4,O=C1CONC(=O)OCC[C@@H](NC(=O)CO)C(=O)OOC1,1ado
1ado_decoy_5,O=C1N=C(OC[C@@]2(O)CON=C2OCCOOO)CCO1,1ado
1ado_decoy_6,O=C(COOOO)N1CC(=O)N([C@@H]2CCCOO2)CC1=O,1ado
1ado_decoy_7,CN1C[C@@](COC(=O)CCNC(=O)O)(OC(=O)O)OC1=O,1ado
1ado_decoy_8,COC(=O)[C@H]1C[C@@H](N(CC(O)=NO)C(=O)OC)C(=O)OO1,1ado
1ado_decoy_9,C=CN(C(=O)C=CC(=O)O)C(=O)CNC(=O)OOC(=O)O,1ado
1afk_decoy_1,O=C(NOO)NC(=O)N1C(=O)N[C@@H](COC(=O)O)[C@H]1C(=O)OOC(=O)N1CCOCC1,1afk
1afk_decoy_10,CCOP(CCCP=O)CCO[C@H]1CC(=CC=C(O)OC)C(=CC=CC=CO)O1,1afk
1afk_decoy_2,CON=C1N=C(c2coc(C(=CC(=N)OOO)C(=O)O)n2)NO[C@H]1OCCOOO,1afk
1afk_decoy_3,O=C1CN(C(=O)C2=NNC(=O)[C@H](OOCCOCCOCOOOO)CN2)C(=O)N1,1afk
1afk_decoy_4,O=C(O)NC=C1OCCOC(=O)OCc2noc(n2)C1=CNC(=O)NC(=O)OOO,1afk
1afk_decoy_5,NC(=O)NC(=O)C(=O)N(C(=O)C(=O)N(CC=O)C(=O)O)C1=NC(=O)O[C@H]1COP(O)O,1afk
1afk_decoy_6,CN(C(=O)O[C@]12OC(=O)OC[C@H]1NC(=O)N1CCOC[C@@H]12)c1noc(OOOO)n1,1afk
1afk_decoy_7,C[C@H](COO)OC(=O)N(CCO)C(=O)Oc1nccn2nc(C(=O)OOOO)nc12,1afk
1afk_decoy_8,O=C1NC(=O)N(C(=O)OOOO)CCOc2ncn(n2)C(=O)C2(COCOC2)CO1,1afk
1afk_decoy_9,CN1CN(C(=O)O)C(=O)OCC(=O)OOC(=O)[C@H](CO)N(c2ncoc(=O)n2)C1=O,1afk
1afl_decoy_1,O=C1CCOC(=O)[C@@](CO)([C@@H](O)C(=O)NC(=O)OOOO)NC(=O)OCCO1,1afl
1afl_decoy_10,O=C1CCN2C[C@@H](OC2=O)[C@@H](C(=O)OCC(=O)OOOO)OOC(=O)NOC1,1afl
1afl_decoy_2,O=CN(C(=O)O)C(=O)O[C@H](CNC(=O)C(=O)OC(=O)O)C(=O)O[C@H](CO)C(=O)O,1afl
1afl_decoy_3,O=C(O)OC[C@@H]1COCCNC(=O)[C@@H](OOC(=O)OC(=O)O)OC(=O)NC1=O,1afl
1afl_decoy_4,O=C(O)OCCN[C@@H]1C(=O)OCCN(C(=O)OOOO)C(=O)OCCOOC1=O,1afl
1afl_decoy_5,O=C1N[C@@]2(CO1)ON=C([C@]1(C(=O)OCCOOOOO)OC[C@@]3(COCO3)O1)O2,1afl
1afl_decoy_6,O=C1N=C(C2COC2)NC(=O)OOCO[C@@](O)(OCCOCCOO)OOO1,1afl
1afl_decoy_7,O=C(CCN1OOCC1=O)OCON=C1[C@@H](COO)C(=O)O[C@@H]1OC(=O)OO,1afl
1afl_decoy_8,NC(=O)[C@H]1NC(=O)OC[C@@H](OC(=O)OOO)CC(=O)O[C@@H]2O[C@@H]1C(=O)OC2=O,1afl
1afl_decoy_9,O=C[C@H](COOOO)OC(=O)[C@@]1(NC(=O)N2CC(=O)OCC2=O)CCOOO1,1afl
1ag9_decoy_1,CC=C(C(=O)NC=C1OC[C@@H]2C(=O)N([C@H]3C=NNC3=O)C(=O)C=C12)C(=CO)OP(O)O,1ag9
1ag9_decoy_10,CC=C(C=COP(O)O)C(=O)NC(=O)NC(=O)C(=O)OCCN1C[C@H]2CC[C@H](N2)C1=O,1ag9
1ag9_decoy_2,COC(=O)[C@]1(c2nc(-c3ccc(O)cn3)no2)CN(C[C@@H](O)P(O)O)C[C@]1(C)CO,1ag9
1ag9_decoy_3,NC(=O)NC1CN(C(=O)OCOC(=O)[C@@H]2CCN(C(=O)C3=C[C@@](O)(P=O)OC=C3)C2)C1,1ag9
1ag9_decoy_4,C[C@H]1C(=O)N2C(C(=O)NCCOP(O)[C@H]3CCCOC3)=C(C(N)=O)N(C(=O)O)C2=C1O,1ag9
1ag9_decoy_5,O=C(O)c1ccc(NC(=O)[C@H](CCP(O)O)NC2=Nc3[nH]c(=O)oc(=O)c3C2=O)cc1,1ag9
1ag9_decoy_6,O=C(O)N=C1OCCNC1=CC(=NOCC1CC1)[C@H]1COC[C@@H](CP(O)O)C(=O)N1,1ag9
1ag9_decoy_7,O=CC=CC=C1C(=CC2=NOCO2)NC(=O)[C@@]12CN(CC(=O)NCCP(O)O)C(=O)O2,1ag9
1ag9_decoy_8,O=C1NC(=O)[C@H](C(=O)N2CCOC[C@]2(CO)CNCCCP(O)O)N2C(=O)CC[C@H]12,1ag9
1ag9_decoy_9,O=C(NCCO)C1=C(N=c2nc[nH]cc2C(=O)C2=CCOC=C2)OC[C@@H](OP(O)O)O1,1ag9
1ai4_decoy_1,C[C@@]1(O)C2=C([NH2+][C@H]3C[C@@H](O)CC(N)=C31)N(NO)CO2,1ai4
1ai4_decoy_10,NNC(=O)[C@H]1CN(C(=O)C[C@]2(O)CCOC2)CC[NH2+]1,1ai4
1ai4_decoy_2,Nc1cnc(=O)n2c1OC[C@]1(C2)[C@H](O)C[C@]1(O)C[NH3+],1ai4
1ai4_decoy_3,C[C@]1([C@H](O)C2=CCO[NH+]=C2N)C=C(NC(N)=O)CO1,1ai4
1ai4_decoy_4,Nc1[nH]c(O)c2c1C(=O)C1=C2OC[C@@H](C[NH2+]CO)N1,1ai4
1ai4_decoy_5,COC(=CO)C1=CC=C(c2n[nH]c(=O)c(=O)[nH]2)[C@H]1[NH3+],1ai4
1ai4_decoy_6,NC(NC1=CCOC=C1)=[NH+][C@H]1C[C@](O)(CO)NC1=O,1ai4
1ai4_decoy_7,C[C@@]1(C[NH3+])[C@H]2C(=O)NCCOCNC(=O)NC(=O)[C@H]21,1ai4
1ai4_decoy_8,COC1=C[C@@H](N)[C@@H]([NH3+])C=C1ON1C(=O)NC(=O)[C@H]1C,1ai4
1ai4_decoy_9,NC(=O)[C@@H]1CC=C(Oc2c(O)n[nH]c(=O)c2O)C[NH2+]1,1ai4
1ai5_decoy_1,O=S1(=O)CC[C@](O)(CCNC2=CCNC2)C1,1ai5
1ai5_decoy_10,CC[C@@H]1NC[C@@H](C)O[C@H]1C(=O)OCC(N)=S,1ai5
1ai5_decoy_2,NC(=O)CSC[C@]1(O)CCCN2OCC[C@H]21,1ai5
1ai5_decoy_3,NS(=O)(=O)NC[C@H]1CCO[C@@H]1C1=CCC=C1,1ai5
1ai5_decoy_4,NOC(=CCS(=O)(=O)[C@H]1C=NCC1)C1CC1,1ai5
1ai5_decoy_5,CC[C@H]1c2[nH]c(=O)[nH]c(=O)c2S[C@@H]1CCO,1ai5
1ai5_decoy_6,NC(=O)[C@H](CSC1COC1)OC1=CCN=C1,1ai5
1ai5_decoy_7,O=CN[C@H]1NC(=O)C(=CC2=CCC=C2O)S1,1ai5
1ai5_decoy_8,N[C@@H](CO)C1=NC(=O)C(=CC2=CCCS2)O1,1ai5
1ai5_decoy_9,COC(=O)C1=C(C)ON[C@H]1NC1=CCCS1,1ai5
