PDBCode,RDKitCanonSmile
1f0t,[H]Oc1ccc(C(N([H])[H])=[N+]([H])[H])cc1CN1CCC(N([H])S(=O)(=O)C2C=C3C(=CC=CN3[H])S2)C1=O
3d0e,[H]OC(C)(C)C#CC1C2=C(C(OCC3CCC[N+]([H])([H])C3)=CN1[H])N(CC)C(C1=C(N([H])[H])N([H])ON1[H])N2[H]
3k2f,[H]N([H])S(=O)(=O)c1cc2c(s1)S(=O)(=O)C(C)CC2N(CC)C(=O)OCC(CO[N+](=O)[O-])O[N+](=O)[O-]
2xjg,[H]Oc1cc(OC)c(C(C)C)cc1C(=O)N1Cc2ccccc2C1
2zfs,[H]N([H])C(c1ccc(CN([H])C(=O)C2CCCN2C(=O)C[N+]([H])([H])C2CCCCCC2)cc1)=[N+]([H])[H]
4gj3,[H]N1CC=C(N([H])C(=O)c2c(Cl)cc(C#N)cc2Cl)C=C1N([H])C(=O)C1CC1F
5fnc,[H]N(Cc1ccc(C)cc1)C1=CC(Cl)N([H])C(N([H])[H])N1[H]
2ifb,CCCCCCCCCCCCCCCC(=O)O
1syn,[H]N(Cc1ccc2ccc3c(c2c1)C(=O)N([H])C(C)N3[H])c1ccc2c(c1)CN(C(CCC(=O)O)C(=O)O)C2=O
1xq0,[H]N1CN(N(Cc2ccc(OS(O)(O)N([H])[H])c(Br)c2)c2ccc(C#N)cc2)CN1[H]
1lpg,[H]N([H])C(c1cccc(Cn2c(C(=O)N([H])Cc3ccc([N+](C)(C)C)cc3)cc3cc(OCc4ccccc4)ccc32)c1)=[N+]([H])[H]
1utj,[H][N+]([H])([H])Cc1ccccc1
3ejp,[H]OC1C[N+]2([H])C(CC(=O)c3ccccc3)CCC(O[H])C2C1O[H]
1nzq,[H]N([H])C(c1cc(CN([H])C(=O)C2C=CCN2C(=O)C(CC2CCCCC2)[N+]([H])([H])CC(=O)O)cn1C)=[N+]([H])[H]
2pqz,[H][N+]1([H])CC(N(Cc2ccccc2)S(=O)(=O)c2ccccc2)C(N(Cc2ccccc2)S(=O)(=O)c2ccccc2)C1
5i7a,[H]N(C(=O)N([H])c1ccc(Cl)c(Cl)c1)c1cccc(C(=O)O)c1
6nor,[H]OC1C(COP(=O)(O)OP(=O)(O)OCC2OC(N3CN([H])C4=C(N)N([H])CN([H])C43)C(O[H])C2O[H])OC(N2C=C(C(N)=O)C=CC2)C1O[H]
5qal,[H]N([H])C(=O)c1ccc(-c2cccc(C(=O)O)c2)cc1
2pwr,[H]N([H])C(=O)c1ccc(S(=O)(=O)N(Cc2ccccc2)C2C[N+]([H])([H])CC2N(Cc2ccccc2)S(=O)(=O)c2ccc(C(=O)N([H])[H])cc2)cc1
3mhw,[H]N([H])C1Sc2ccccc2N1[H]
6eln,[H]Oc1ccc(C2C(c3ccc(OC)cc3)=C(C)N([H])N2[H])c(O[H])c1
5nwe,[H]N(C(C)=O)C1C(OC(CC)CC)C=C(C(=O)O)CC1[N+]([H])([H])[H]
4b32,[H]Oc1ccc2ccccc2c1
3n2u,[H]OCC1OC(OCCN(CC(=O)N([H])O[H])S(=O)(=O)c2ccc(OC)cc2)C(O[H])C(O[H])C1O[H]
3m6p,[H]OCC1CCCN1C(=O)C(C(C)C)N([H])C(=O)C(CCCCC)CC(=O)N([H])O[H]
2afw,[H]N1C=C(CCN([H])C(C)=O)N([H])C1
5od2,[H]OCC1OC(O[H])C(O[H])C(O[H])C1O[H]
2bza,[H][N+]([H])([H])Cc1ccccc1
5hcy,[H]N1C=c2c(C(=O)N([H])C3CCOCC3)cn(C(C)C)c2=CC1N([H])C1C=CN([H])C(C2=CN(S(=O)(=O)C3CC3)N([H])C2)N1[H]
4nh8,[H]N([H])C(=O)c1c(F)cc(-n2cc(C)c3c2CC(C)(C)CC3=O)cc1N([H])C1CCOC1
2dua,O=C(O)C(=O)O
5dw2,[H]N([H])C(=O)c1c(OC)cc(OC)cc1N([H])[H]
5wl0,[H]N1CC(F)=Cc2c(C3N([H])CC(F)=C(N([H])C4C5CCC(CC5)C4C(=O)O)N3[H])cn([H])c21
2z94,[H]Sc1ccc(C)cc1S[H]
2fvd,[H]N([H])C1=C(C(=O)c2c(OC)ccc(F)c2F)CN([H])C(N([H])C2CCN(S(C)(=O)=O)CC2)N1[H]
5ipc,[H]OC1C(CSP(=O)(O)N([H])CCc2cn([H])c3ccccc23)OC(N2CN([H])C3=C2N([H])C(N([H])[H])N([H])C3=O)C1O[H]
6g98,[H]N(c1c(F)c(SCCc2ccc(C(=O)O)cc2)c(F)c(F)c1S(=O)(=O)N([H])[H])C1CCCCCCCCCCC1
2c1q,[H]OC1N([H])C2CSC(CCCCC(=O)O)C2N1[H]
5u6c,[H]OCCN1C2=C(C3=CN([H])C(N([H])[H])=C(OC(C)c4c(ccc(F)c4Cl)C(=O)N(C)C2)N3[H])C(C)N1[H]
1rp7,[H]N([H])C1C(Cn2c(C)c(CCOP(=O)(O)OP(=O)(O)O)sc2=O)=CN([H])C(C)N1[H]
2ogy,[H]N1CC(CN([H])c2ccc(C(=O)N([H])C(CCC(=O)O)C(=O)O)cc2)N(C)C2=C1N([H])C(N([H])[H])N([H])C2=O
4d81,[H]OC1C(COP(=O)(O)OP(=O)(O)O)OC(N2CN([H])C3=C(N([H])[H])N([H])CN([H])C32)C1O[H]
4ymq,[H]OCCC(C)N(C)C(=O)CCCN1c2ccccc2N(Cc2ccc(C(O[H])(C(F)(F)F)C(F)(F)F)cc2)S1(=O)=O
2jh6,[H]N(C1CCN(C(C)C(=O)N2CCOCC2)C1=O)S(=O)(=O)CCc1ccc(Cl)s1
2jke,[H]OCC1C(O[H])C(O[H])C(O[H])C[N+]1([H])[H]
2fqx,[H]OCC1OC(N2CN([H])C3=C2N([H])C(N([H])[H])N([H])C3=O)C(O[H])C1O[H]
1nhu,O=C(O)C(Cc1ccccc1)N(Cc1cccc(C(F)(F)F)c1)C(=O)c1ccc(Cl)cc1Cl
4r75,[H]OCC1(O[H])OC(C(COP(=O)(O)O)O[H])C(O[H])C1O[H]
4yml,[H]OC1C[N+]([H])(Cc2cn([H])c3c2N([H])CN([H])C3N([H])[H])CC1CSC
6qp0,[H]OC1C(COP(=O)(O)OP(=O)(O)O)OC(N2CN([H])C3=C(N([H])[H])N([H])CN([H])C32)C1O[H]
1mfd,[H]OCC1OC(OC2C(OC)OC(CO~[HH])C(O~[HH])C2OC2OC(C)C(O~[HH])CC2O~[HH])C(O[H])C(O[H])C1O[H]
3p3r,[H]Oc1cc(C(=O)c2ccccc2F)cc([N+](=O)[O-])c1O[H]
4jzr,[H]N1C=CN(C)C1CN1CCC2(CC1)CCN(c1ccc(-c3ccccc3)cc1)C2=O
2wky,[H]n1oc2c(c1=O)C(CC(C(=O)O)[N+]([H])([H])[H])=CCCC2
456c,[H]ON([H])C(=O)CC1(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CCOCC1
6cbf,[H]N1C=C(c2ccc(Oc3ccccc3)c(C(=O)O)c2)CN1[H]
2wyg,[H]N(C1C=CN(c2ccc(C(C)[N+]([H])(C)C)cc2F)C1=O)S(=O)(=O)C=Cc1ccc(Cl)s1
4aji,COc1ccc(CC(C(=O)O)C(=O)O)cc1OC
4jss,[H]On1ccccc1=S
6fui,[H]N(C1=C2C=CC=CC2N([H])C(N([H])C2CCCCC2C(=O)O)N1[H])c1cccc(C[N+]([H])([H])[H])c1
4ybk,[H]OCC[N+]1([H])CCN(C2=CC(N([H])C3SC(C(=O)N([H])c4ccc(Oc5ccccc5)cc4)=CN3[H])N([H])C(C)N2[H])CC1
3wgg,[H]OC1C(COP(=O)(O)OP(=O)(O)OCC2OC(N3CN([H])C4=C3N([H])CN([H])C4N([H])[H])C(O[H])C2O[H])OC(N2C=CC=C(C(=O)N([H])[H])C2)C1O[H]
4nl1,[H][N+]([H])(C)Cc1ccc(C(F)(F)F)cc1
2ihk,[H]OCC(O[H])C(O[H])C1OC(OP(=O)(O)OCC2OC(N3C=CC(N([H])[H])N([H])C3=O)C(O[H])C2O[H])(C(=O)O)C(F)C(O[H])C1N([H])C(C)=O
2b1i,[H]OC1C(COP(=O)(O)O)OC(N2CN([H])C3=C2N([H])S(=O)(=O)N([H])C3=O)C1O[H]
3ng4,[H]OCC1OC(OC2C(CO[H])OC(O[H])C(O[H])C2O[H])C(O[H])C(O[H])C1O[H]
2azr,[H]N1CC=Cc2c1sc(C(=O)O)c2OCC(=O)O
3nv6,[H]OC1CC2CCC1(C)C2(C)C
4ad3,[H]OCC1OC(OC2C(O~[HH])CN(~[HH])(~[HH])C(CO~[HH])C2O~[HH])C(O[H])C(O[H])C1O[H]
1jzn,[H]OCC1OC(OC2C(CO[H])OC(O[H])C(O[H])C2O[H])C(O[H])C(O[H])C1O[H]
2tpl,[H]Oc1ccc(CCC(=O)O)cc1
3t3z,[H]N1C=C(CC2COC(=O)C2CC)N(C)C1
5os5,[H]Oc1ccc(Sc2ccc(O[H])cc2)cc1
2q8h,O=C(O)C(Cl)Cl
6eis,[H]N1C=c2ccc(=O)n(-c3ccc(F)cc3C(F)(F)F)c2=C2CC(C3=CN([H])N([H])C3)=CC=C21
3u81,[H]OC1C(CSCCC(C(=O)O)[N+]([H])([H])[H])OC(N2CN([H])C3=C2N([H])CN([H])C3N([H])[H])C1O[H]
6kg2,[H]OC1C(COP(=O)(O)OP(=O)(O)OCC2OC(N3CN([H])C4=C3N([H])CN([H])C4N([H])[H])C(O[H])C2O[H])OC(N2C=C(C(=O)N([H])[H])C=CC2)C1O[H]
4gue,[H]Oc1cc(O[H])c2c(=O)c(OC3OC(C)C(O[H])C(O[H])C3O[H])c(-c3ccc(O[H])c(O[H])c3)oc2c1
4jkw,C=C(C)CCOP(=O)(O)OP(=O)(O)O
3h5b,[H]OC(CN(CC1CCC(=O)N1[H])S(=O)(=O)c1ccc(OC)cc1)C(Cc1ccccc1)N([H])C(=O)OC1CC2CCOC2C1
4duh,[H]N(C(=O)CC)C1SC(C2=CSC(N([H])c3ccc(C(=O)O)cc3)N2[H])=C(C)N1[H]
3f8e,[H]Oc1cc(OC)c(C(CC(C)C)O[H])cc1CCC(=O)O
1ql9,[H]N1C=CC(N2CCC(C(=O)N3CCN(S(=O)(=O)c4ccc5cc(Cl)ccc5c4)CC3)CC2)=CC1
3bxd,[H]OC1C(O[H])C(O[H])C(O[H])C(O[H])C1O[H]
4c5d,[H]N(C(=O)N(CCC)C(=O)c1cccc(C#Cc2ccc(F)cc2F)c1)C(CSCc1ccc(Br)cc1)C(=O)O
6gnr,[H]N1CC=CC(C(=O)O)=C1N([H])c1cccc(Cl)c1C
5y94,[H]N(C)C1=CC2ON([H])C(C)=C2C=C1N([H])S(=O)(=O)c1cc(Br)ccc1OC
1o1s,CC(=CCOP(=O)(O)OP(=O)(O)O)CCC=C(C)COCc1cccc(C(=O)c2ccccc2)c1
2xj2,[H]N1C=C(c2cccc(C=CC(=O)O)c2)N([H])C(N2CCC[N+]([H])(C)CC2)=C1
5d24,[H]N([H])C(=O)COc1cccc(N([H])C(=O)c2c(CC)c(C(C)=O)c(C)n2[H])c1
1o86,[H][N+]([H])([H])CCCCC(C(=O)N1CC=CC1C(=O)O)[N+]([H])([H])C(C=Cc1ccccc1)C(=O)O
2ot1,[H]N(C(=O)c1cc2ccccc2cc1OP(=O)(O)O)c1ccc(Cl)cc1
3d7k,[H]OC(c1ccccc1)(C1SC(CCOP(=O)(O)OP(=O)(O)O)=C(C)N1CC1=C(N([H])[H])N([H])C(C)N([H])C1)P(=O)(O)OC
3nu3,[H]OC(CN(CC(C)C)S(=O)(=O)c1ccc(N([H])[H])cc1)C(Cc1ccccc1)N([H])C(=O)OC1CCOC1
2i6b,[H]N([H])C1=C(c2ccc(N(C)C)cc2)C(C#CC2=CC=C(N3CCOCC3)N([H])C2)N([H])CN1[H]
5wa8,[H]OC1C(COP(=O)(O)N([H])C(C)C(=O)OC)OC(N2CN([H])C3=C(N([H])[H])N([H])CN([H])C32)C1O[H]
5jox,[H]OCC1C(O[H])C(O[H])C[N+]1([H])[H]
4at3,[H]N([H])C(=O)C1=C(N([H])C(=O)N([H])[H])SN([H])C1SC1CCCCc2ccccc21
2zof,[H]OC(C(=O)N([H])C(CC(C)C)C(=O)O)C(Cc1ccccc1)[N+]([H])([H])[H]
1jqd,[H]N1C=C(CC[N+]([H])([H])[H])N([H])C1
1i1e,[H]OCC(O[H])C1(O[H])Cc2c(c(O[H])c3c(O[H])c4c(OC)cccc4c(O[H])c3c2O[H])C(OC2CC([N+]([H])([H])[H])C(O[H])C(C)O2)C1
4lm2,[H]OCc1ccc2c(c1)OCCO2
5ehv,O=C(O)C=Cc1cccc(OCc2cccc(CC(=O)O)c2)c1
5efc,[H]OC1C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)OC(N2CN([H])C3=C2N([H])C(N([H])[H])N([H])C3=O)C1O[H]
6equ,[H]N([H])S(=O)(=O)c1ccc(CCN2C(c3ccccc3)=CC(c3ccccc3)=CC2c2ccccc2)cc1
2x05,[H]OC1CCN2CC([N+]([H])([H])[H])C(O[H])C(O[H])C12
1nc1,[H]OC1C(CSC)OC(n2ccc3c2N([H])CN([H])C3N([H])[H])C1O[H]
1rnt,[H]OCC1OC(N2CN([H])C3=C2N([H])C(N([H])[H])N([H])C3=O)C(OP(=O)(O)O)C1O[H]
4wn0,[H]OCC(COP(=O)(O)O)O[H]
2oi2,[H]OC(C)(CCOP(=O)(O)OP(=O)(O)O)CC(=O)O
3t5u,[H]ON([H])S(=O)(=O)c1ccccc1
1z71,[H]ON1C=CC=CC1C(F)(F)CN([H])C1C=CC(Cl)=C(CC(=O)N([H])C(C)c2cccc(Cl)c2)N1O[H]
4z93,[H]N1OC(C)C(c2cc3c(cc2OC)c2c(n3[H])C=CN([H])C2C2=C(C3CC3)N([H])N([H])C2C)=C1C
4d3h,[H]OC1C2OP(=O)(O)OCC3OC(N4CN([H])C5=C4N([H])CN([H])C5N([H])[H])C(O[H])C3OP(=O)(O)OCC2OC1N1CN([H])C2=C1N([H])CN([H])C2N([H])[H]
5ne5,[H]OCC1C(O[H])C(O[H])C(O[H])C2N([H])C(=O)C(=O)N12
1zgi,[H]N1CN([H])N(c2ccccc2C=C2OC3=C(C(N([H])CC(F)(F)C4CCCC[N+]4([H])[H])N([H])C=C3)N2[H])C1
2wtv,[H]N1CC2=C(c3ccc(Cl)cc3C1c1c(F)cccc1F)N([H])C(N([H])c1ccc(C(=O)O)cc1)N([H])C2
6fe1,[H]OCCS(=O)(=O)c1c(F)c(F)c(S(=O)(=O)N([H])[H])c(F)c1N([H])C1CC=CCCCC1
4b5d,[H]OCCC1CC1C1=CC(OCC2CC[N+]2([H])[H])=CN([H])C1
6hd6,[H]N(C(=O)c1cccc(C[N+]2([H])CCOCC2)c1)c1ccc(OC(F)(F)F)cc1
3lpf,[H]OCCN(Cc1cc2cc(C)c(C)cc2n([H])c1=O)C(=S)N([H])c1cccc(OC)c1
4i71,[H]OCC1C(O[H])C(O[H])C[N+]1([H])CC1=C2C(=C(N([H])[H])N([H])CN2[H])N([H])C1
4cli,[H]N1CC2=CC(=C1N)OC(C)c1cc(F)ccc1C(=O)N(C)CC1=C2C(C#N)N(C)N1[H]
3ujd,C[N+](C)(C)CCOP(=O)(O)O
4yoi,[H]N1NN(CC(=O)N(Cc2ccsc2)c2ccc(N([H])C(=O)c3cccs3)cc2)c2ccccc21
4qyy,[H]Oc1ccc(N([H])C(=O)C2CC[N+]([H])(CC(=O)N3CCN(c4ccc(C(C)=O)cc4)CC3)C2)cc1Cl
5eqe,[H][N+]([H])([H])Cc1ccc(C[N+]2([H])CCC[N+]([H])(C)CC2)cc1
5g3u,[H]n1cc(CC(=C)C(=O)O)c2ccccc21
5lom,[H]OC1COC(C[N+]([H])([H])C(CCC(=O)N([H])[H])C(=O)O)(O[H])C(O[H])C1O[H]
3vha,[H]N([H])C1N([H])C2=CC(Sc3cccc(c3)OCCCCOc3ccc(C)c2c3)N1[H]
1om1,[H]n1c(=O)c2ccccc2n2c3ccccc3c(CC(=O)O)c12
2fw6,[H]OC(CC(=O)O)(CC(=O)O)C(=O)O
4pjt,[H]N1CN([H])N(C)C1C1C(c2ccc(F)cc2)N([H])c2cc(F)cc3c2C1N([H])N([H])C3=O
6nyv,[H]N1CCN(C2N([H])C3=CC=CCC3=C(N([H])C3C=C(C(C)(C)C)N([H])N3[H])N2[H])C(C)C1
6ey8,[H]OC1=C(C(=O)N(C)Cc2ccc(Cl)cc2)CC2=C(Cc3ccccc3)N([H])N([H])C2=C1
2v00,[H]N([H])C1N([H])C(=O)C=C(CCc2ccccc2)N1[H]
2byr,[H]OC12CC(OC)C3CC(C1C3OC)C13C(OC)CCC4(COC(=O)c5ccccc5N5C(=O)CC(C)C5=O)C[N+]([H])(CC)C1C2(O[H])C(OC)C43
4c1y,[H]OC1C(C)OC(OC)C(O[H])C1O[H]
5upz,[H]OCc1ccc(S(=O)(=O)N(CC(C)C)CC(O[H])C(Cc2ccccc2)N([H])C(=O)c2cccc(C(=O)N(C)CC3OCC(=C)N3[H])c2)cc1
4jyt,[H]N([H])C(c1ccc(OC2=CC=C(N([H])S(=O)(=O)c3ccc4ccccc4c3)C(Oc3ccc(C(N([H])[H])=[N+]([H])[H])cc3)N2[H])cc1)=[N+]([H])[H]
1lpz,[H]N([H])C(c1cccc(Cn2c(C(=O)N([H])Cc3cc(Cl)cc(Cl)c3)cc3c(C)cccc32)c1)=[N+]([H])[H]
4bqs,[H]OC1C2CC(C(=O)O)=CC1(O[H])C=CCO2
5dnu,CC1C(=O)OC2=C1C=COC2
2hzy,O=C(O)C=CP(=O)(O)CC(=O)CC(=O)O
4b3c,[H]Oc1ccc2c(ccn2[H])c1
4ql1,[H]N(C(=O)c1cn([H])c(=O)cc1C(F)(F)F)c1cc(-c2cccc(C[N+]([H])([H])C)c2)ccc1N1CC[N+]([H])(C)CC1
1xbo,[H]OCC1=C(C(=O)O)N([H])OC1c1cccc(C=CCOc2cccc(O[H])c2C(=O)OC)c1
3ffg,[H]OC1CC[N+]([H])(Cc2ccccc2-c2ccc(N3CCC4=C(C(F)(F)F)N([H])N(c5cccc(C6N([H])C(=O)N([H])N6[H])c5)C4C3=O)cc2)C1
4pa0,[H]N1CC(N([H])C(=O)N([H])c2cccc(CN3CCN(C(=O)OC)CC3)c2F)=CC=C1C
4i3z,[H]OC1C(COP(=O)(O)OP(=O)(O)O)OC(N2CN([H])C3=C2N([H])CN([H])C3N([H])[H])C1O[H]
4b6o,[H]OC1CC(O[H])(C(=O)O)C(Cc2ccc(OC)cc2)C(=O)C1O[H]
3l0v,[H]N1C(=O)N([H])C(C)(Cn2c(=O)c3cc(OC)ccc3n2[H])C1=O
1o3j,[H]Oc1c(Br)cc(C)cc1C1N([H])c2ccc(C(N([H])[H])=[N+]([H])[H])cc2N1[H]
5cpr,[H]N1C=CC(C2=c3cc(Cl)c(Cl)cc3=C(N([H])C3CCCC3)N([H])N2[H])=CC1
4l1a,[H]OC(CC(Cc1ccccc1)N([H])C(=O)C(C(C)C)N1CCCN([H])C1=O)C(Cc1ccccc1)N([H])C(=O)COc1c(C)cccc1C
4pv5,[H]OC1CCC2(C)C(CCC3(C)C2C(=O)C=C2C4CC(C)(C(=O)O)CCC4(C)CCC23C)C1(C)C
4b3d,[H]n1ccc2cc(C)ccc21
2oxy,[H]N1CN([H])c2c(Br)c(Br)c(Br)c(Br)c21
3ebo,[H]Oc1cc(O[H])c2c(=O)cc(-c3ccccc3)oc2c1
1r0x,[H]OC1C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)OC(N2CN([H])C3=C(N([H])[H])N([H])CN([H])C32)C1O[H]
6gla,[H]N1CC2=C(c3ccn([H])c31)N(C1CCCCC1)C(c1ccc(C=CC#N)o1)N2[H]
3oy0,[H]N(C(=O)C(CCC)C(C)(C)C)c1ccc(S(=O)(=O)N([H])[H])cc1
1fkh,CCC(C)(C)C(=O)C(=O)N1CCCCC1C(=O)OC(CCc1ccccc1)C1CCCCC1
4fai,[H]N1C=CN(CCCN([H])C(=S)N([H])c2ccc(OC)c(OC)c2)C1
1n1v,[H]OCC(O[H])C(O[H])C1OC(C(=O)O)CC(O[H])C1N([H])C(C)O[H]
5dqf,[H][N+]1(CCOCC(=O)O)CC[N+]([H])(C(c2ccccc2)c2ccc(Cl)cc2)CC1
5a5q,[H]N1CC=c2cc(C)c(=O)n([H])c2=C1N([H])C1CC[N+]([H])([H])CC1
1fm9,[H]N1C(CCOc2ccc(C[C@@H](C(=O)O)N([H])c3ccccc3C(=O)c3ccccc3)cc2)=C(C)OC1c1ccccc1
5jy3,[H]OCc1c(F)cc(-c2ccc(N3C=C(C(C)(C)O[H])N([H])C3C(C)(C)c3c(Cl)cccc3Cl)c(F)c2)cc1S(C)(=O)=O
4qb3,[H]N(CCCCn1c2c(c3ccccc31)C(=O)N([H])CC2)C(C)=O
1g4o,[H]N(Cc1ccccc1)C(=O)c1ccc(S(=O)(=O)N([H])[H])cc1
2ckm,[H]N(CCCCCCCN([H])C1=C2C=CC=CC2N([H])C2=C1CCCC2)C1=C2CC=CC=C2N([H])C2=C1CCCC2
4ymh,[H]OC1C(CSCCC(C(=O)O)[N+]([H])([H])[H])OC(N2CN([H])C3=C2N([H])CN([H])C3N([H])[H])C1O[H]
2uwd,[H]Oc1cc(O[H])c(C2=C(c3ccc(OC)cc3)C(C(=O)N([H])CC)N([H])O2)cc1Cl
5nxp,[H]N(C(=O)CN(C)c1ccccc1)c1ccc(S(=O)(=O)N([H])[H])cc1
3s54,[H]OC(CN(CC(C)C)S(=O)(=O)c1ccc(N([H])[H])cc1)C(Cc1ccccc1)N([H])C(=O)OC1COC2OCCC12
4i8z,[H]OC(CN(CC(C)C)S(=O)(=O)c1ccc(C(=O)N([H])[H])cc1)C(Cc1ccccc1)N([H])C(=O)OC1COC2OCCC12
2pvh,[H]N1C2=CCN([H])N2C(N([H])c2ccccc2)N([H])C1N([H])c1ccccc1
1vjy,[H]N1C=CC=C2C1=CC=C(C1=CN([H])N([H])C1C1C=CC=C(C)N1[H])N2[H]
5i3w,[H]N1C=C2Oc3ccc(N([H])C(=O)C4C=CC(Cl)=CN4[H])cc3C3(COC(N([H])[H])N3[H])C2=CC1=C1CCCOC1
5j6l,[H]Oc1cc(O[H])c(C2N(c3ccccc3F)C(=O)N([H])N2[H])cc1C(=O)N(C)CCCC
5v0n,[H]OC(C(Cc1ccccc1)N([H])C(=O)c1cc2c3c(c1)c(CC)cn3CC(C)(C)S(=O)(=O)N2C)C1C(=O)N(Cc2ccccc2)CC[N+]1([H])[H]
4cd5,[H]OCC1OC(OC2C(O~[HH])C(O~[HH])C3N([H])C=CN3C2CO~[HH])C(O[H])C(O[H])C1O[H]
2pcp,[H][N+]1(C2(c3ccccc3)CCCCC2)CCCCC1
4ahu,[H]n1cc(C(=O)O)c2ccccc21
3mjl,[H]N([H])C1N([H])C=CN1[H]
5ef7,[H]OCCN(C(=O)Cc1ccc(C(=O)N([H])O[H])cc1)c1ccccc1
4qf8,[H][N+]([H])([H])CCCC[N+]([H])([H])CCC[N+]([H])([H])[H]
3zy6,[H]OC1C(C)OC(OP(=O)(O)OP(=O)(O)OCC2OC(N3CN([H])C4=C3N([H])C(N([H])[H])N([H])C4=O)C(O[H])C2O[H])C(O[H])C1O[H]
5u49,[H]Oc1cc(C=Cc2ccc(O[H])cc2Cl)cc(O[H])c1
3v2n,CCCCCCCCCCCCCC(=O)O
4r59,[H]OCC1OC(S(=O)(=O)N2C=CC(OS(O)(O)N([H])[H])CC2)C(O[H])C(O[H])C1O[H]
4x5z,[H]N1CN([H])C(N([H])C2CC[N+]([H])(Cc3ccc4c(c3)cc(C#N)n4[H])CC2)c2cc(CC(F)(F)F)sc21
3uu1,[H]N([H])c1c(C)cc(C)cc1C(=O)O
4rkx,[H]N(CC#N)C(=O)OCc1ccccc1
1re9,[H]N(CCCCCCCCN([H])S(=O)(=O)c1cccc2c(N(C)C)cccc12)C(=O)C12CC3CC(CC(C3)C1)C2
2rcb,[H]OCC(C(=O)O)[N+]([H])([H])[H]
3e5u,[H]Oc1ccc(CC(=O)O)cc1Cl
5aba,[H]Oc1c(Br)cc(Cl)cc1C[N+]1([H])CCC([N+]2([H])CCC(O[H])CC2)CC1
6gu6,[H]OCCC1CCCCN1C1C=C(N([H])CC2=CN(O[H])CC=C2)N2C(=C(CC)CN2[H])N1[H]
4llk,[H]N1C(=O)c2ccccc2N([H])C1C
3qto,[H]N(CC1=CC=CN(C)C1)C(=O)C1CCCN1C(=O)C(Cc1ccccc1)[N+]([H])([H])[H]
1ajp,[H]Oc1ccc(O[H])c(CC(=O)O)c1
4kz7,CC12CCC(C(=O)O)(OC1=O)C2(C)C
