PDBCode,DatabaseSmile,RDKitCanonSmile
5j47,c1ccc(cc1)Oc2ccccc2c3nn4cnnc4s3,c1ccc(Oc2ccccc2-c2nn3cnnc3s2)cc1
4km2,COc1cc(Cc2cnc(nc2N)N)cc(c1OC)OC,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
6mg5,CCN(CC)c1ccc2c(c1)OC(=O)C=C2C,CCN(CC)c1ccc2c(C)cc(=O)oc2c1
2baj,O=C(Nc1cccc(c1Cl)Cl)Nc1cc(nn1c1ccccc1)C(C)(C)C,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2ccccc2)n1
5jox,OC[C@@H]1[NH2+]C[C@@H]([C@H]1O)O,OC[C@@H]1[NH2+]C[C@H](O)[C@H]1O
4elh,COc1c(/C=C/C(=O)N2[NH2+]Cc3c([C@H]2CC(C)C)cccc3)cc(cc1OC)Cc1cnc(nc1N)N,COc1cc(Cc2cnc(N)nc2N)cc(/C=C/C(=O)N2[NH2+]Cc3ccccc3[C@H]2CC(C)C)c1OC
6gdy,C(CC(=O)O)C(=O)C(=O)O,O=C(O)CCC(=O)C(=O)O
5etb,CC(=O)c1c[nH]c2c1cccc2C,CC(=O)c1c[nH]c2c(C)cccc12
3p8p,CCCC/C(=[NH+]/CCC[C@@H](C(=O)O)[NH3+])/N,CCCC/C(N)=[NH+]/CCC[C@H]([NH3+])C(=O)O
4tqn,CCOc1ccc(cc1NC(=O)c1cccc(c1)C(=O)O)C(=O)C,CCOc1ccc(C(C)=O)cc1NC(=O)c1cccc(C(=O)O)c1
6h34,Fc1ccc(cc1)C[NH+]1CCN(CC1)C(=O)c1ccc(cc1)S(=O)(=O)N,NS(=O)(=O)c1ccc(C(=O)N2CC[NH+](Cc3ccc(F)cc3)CC2)cc1
3p3g,C[C@H]([C@@H](C(=O)N=O)NC(=O)c1ccc(cc1)C#CC#Cc1ccccc1)O,C[C@@H](O)[C@H](NC(=O)c1ccc(C#CC#Cc2ccccc2)cc1)C(=O)N=O
1jt1,C[C@H](CS)C(=O)N1CCC[C@@H]1C(=O)O,C[C@H](CS)C(=O)N1CCC[C@@H]1C(=O)O
1epo,CCCC[C@@H](C(=O)N[C@H](C(C(C(=O)NC)(F)F)(O)O)CC1CCCCC1)NC(=O)[C@@H](NC(=O)N1CCOCC1)Cc1ccccc1,CCCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)N1CCOCC1)C(=O)N[C@@H](CC1CCCCC1)C(O)(O)C(F)(F)C(=O)NC
3o84,OC(=O)c1cc(nc2c1cnn2Cc1ccncc1)c1ccccc1,O=C(O)c1cc(-c2ccccc2)nc2c1cnn2Cc1ccncc1
2gmv,C=C(C(=O)O)OP(=O)(O)O,C=C(OP(=O)(O)O)C(=O)O
4af0,c1nc2c(n1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N=CNC2=O,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
1fdq,CCC=C/CC=C/CC=C/CC=C/CC=C/CC=C/CCC(=O)O,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O
3uug,O[C@@H]1O[C@H](C(=O)O)[C@H]([C@@H]([C@H]1O)O)O,O=C(O)[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
5hz8,Clc1cc(Cl)c2c(c1)c(c1ccccc1)c(c(n2)N1CCCCC1)C(=O)O,O=C(O)c1c(N2CCCCC2)nc2c(Cl)cc(Cl)cc2c1-c1ccccc1
3fl5,Oc1c(O)ccc2c1C(=O)c1c(C2=O)c(O)ccc1O,O=C1c2ccc(O)c(O)c2C(=O)c2c(O)ccc(O)c21
3qdd,COc1c(C)cnc(c1C)Cn1cnc2c1nc(N)nc2Cl,COc1c(C)cnc(Cn2cnc3c(Cl)nc(N)nc32)c1C
1bnt,COc1ccc(cc1)N1C[C@H](O)c2c(S1(=O)=O)sc(c2)S(=O)(=O)N,COc1ccc(N2C[C@H](O)c3cc(S(N)(=O)=O)sc3S2(=O)=O)cc1
4mul,COc1ccc2c(c1)cc(n2CC(=O)O)C(=O)NS(=O)(=O)c1ccc2c(c1)cccc2,COc1ccc2c(c1)cc(C(=O)NS(=O)(=O)c1ccc3ccccc3c1)n2CC(=O)O
3r4p,Clc1cc(Cl)c(c(c1)OCCn1cccn1)c1nc(N)nc2c1cn(c2)C(=O)NCC(F)(F)C,CC(F)(F)CNC(=O)n1cc2nc(N)nc(-c3c(Cl)cc(Cl)cc3OCCn3cccn3)c2c1
5mrb,COc1cc(ccc1Nc1ncc2c(n1)c1n(C)nc(c1cc2)C(=O)Nc1c(CC)cccc1CC)N1CC[NH+](CC1)C,CCc1cccc(CC)c1NC(=O)c1nn(C)c2c1ccc1cnc(Nc3ccc(N4CC[NH+](C)CC4)cc3OC)nc12
2qg2,O=C1OCCN1/N=C/c1ccccc1C#Cc1cc(C)nc(n1)N,Cc1cc(C#Cc2ccccc2/C=N/N2CCOC2=O)nc(N)n1
1n4k,O[C@@H]1[C@@H](OP(O)(O)O)[C@H](OP(O)(O)O)[C@H]([C@@H]([C@@H]1O)OP(O)(O)O)O,O[C@H]1[C@@H](O)[C@@H](O[PH](O)(O)O)[C@H](O)[C@@H](O[PH](O)(O)O)[C@@H]1O[PH](O)(O)O
1f4x,OCC[C@H](C(=O)N[C@@H]1[C@@H](C)O[C@@H]([C@H]([C@H]1O)OC)OC)O,CO[C@H]1O[C@H](C)[C@@H](NC(=O)[C@H](O)CCO)[C@H](O)[C@@H]1OC
1x8j,O[C@@H]1CC[C@]2([C@H](C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CCC2=O)C)C,C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@@]43C)[C@@H]1CCC2=O
2haw,OP(NP(O)(O)O)(O)O,O[PH](O)(O)N[PH](O)(O)O
4uj1,Clc1cccc(c1)C(=O)[C@H]1C[NH2+]C[C@@H]1c1ccc2c(c1)[nH]cnc2=O,O=C(c1cccc(Cl)c1)[C@H]1C[NH2+]C[C@@H]1c1ccc2c(=O)nc[nH]c2c1
6kg2,c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)CO[P@@](=O)([O-])O[P@@](=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N,NC(=O)c1ccc[n+]([C@@H]2O[C@H](CO[P@@](=O)([O-])O[P@@](=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1
1sgu,O[C@H](C[N@@H+]1CC[N@H+](C[C@H]1C(=O)NC(C)(C)C)Cc1cccnc1)C[C@H](C(=O)N[C@@H]1[C@H](O)Cc2c1cccc2)Cc1ccccc1,CC(C)(C)NC(=O)[C@@H]1C[N@H+](Cc2cccnc2)CC[N@H+]1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O
4mc2,O=C(N[C@H]([C@@H](CN1C[C@H](Cc2c(S1(=O)=O)ccc(c2)F)C(C)(C)C)O)Cc1ccccc1)O[C@H]1CCOC1,CC(C)(C)[C@H]1Cc2cc(F)ccc2S(=O)(=O)N(C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2CCOC2)C1
4zt8,NC1=[NH+]C(=O)N=CC1,NC1=[NH+]C(=O)N=CC1
3tki,c1cnc(cc1N2CCOCC2)Nc3ncc(s3)c4cc(cnc4)C(=O)NCCN,NCCNC(=O)c1cncc(-c2cnc(Nc3cc(N4CCOCC4)ccn3)s2)c1
2ada,c1nc2c(c(n1)O)NCN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,OC[C@H]1O[C@@H](N2CNc3c(O)ncnc32)[C@H](O)[C@@H]1O
2qbp,OC(=O)COc1c(Br)c(sc1C(=O)O)c1cccc(c1)NC1CCN(CC1)S(=O)(=O)Cc1ccccc1,O=C(O)COc1c(C(=O)O)sc(-c2cccc(NC3CCN(S(=O)(=O)Cc4ccccc4)CC3)c2)c1Br
1xw6,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O
3bu1,C(c1cnc[nH]1)C[NH3+],[NH3+]CCc1cnc[nH]1
5mkr,C=CC(=O)OCCC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1c(NCc2ccc(cc2)Cl)nc2c1ncnc2N,C=CC(=O)OCCC[C@H]1O[C@@H](n2c(NCc3ccc(Cl)cc3)nc3c(N)ncnc32)[C@H](O)[C@@H]1O
5ive,N#Cc1cnn2c1[nH]c(C)c(c2=O)C(C)C,Cc1[nH]c2c(C#N)cnn2c(=O)c1C(C)C
5l01,c1ccc(cc1)c2cc(ccc2[C@H](C(F)(F)F)Oc3cc(nc(n3)N)N4CCC5(CC4)C[C@H](NC5)C(=O)O)Cl,Nc1nc(O[C@H](c2ccc(Cl)cc2-c2ccccc2)C(F)(F)F)cc(N2CCC3(CC2)CN[C@H](C(=O)O)C3)n1
1z95,N#Cc1ccc(cc1C(F)(F)F)NC(=O)[C@](CS(=O)(=O)c1ccc(cc1)F)(O)C,C[C@](O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
5vcv,OCC[NH+]1CCN(CC1)c1cc(nc(n1)C)Nc1ncc(s1)C(=O)Nc1c(C)cccc1Cl,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CC[NH+](CCO)CC2)n1
5nzn,CCC(O[C@@H]1C=C(C[C@@H]([C@H]1NC(=O)C)[NH3+])C(=O)O)CC,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H]([NH3+])[C@H]1NC(C)=O
3f78,FC(O[C@H](C(F)(F)F)Cl)F,FC(F)O[C@@H](Cl)C(F)(F)F
3mhc,O=C([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)Nc1nnc(s1)S(=O)(=O)N,NS(=O)(=O)c1nnc(NC(=O)[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)s1
4f9w,CN(c1nnc(c(c1)c1ccncc1)c1ccc2c(c1)cccc2)C,CN(C)c1cc(-c2ccncc2)c(-c2ccc3ccccc3c2)nn1
3ocp,O[C@@H]1[C@@H]2OP(O)(O)OC[C@H]2O[C@H]1n1cnc2c1ncnc2N,Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2CO[PH](O)(O)O[C@H]2[C@H]1O
2hjb,[NH3+]Cc1ccc(cc1)OC,COc1ccc(C[NH3+])cc1
4ij1,OC(=O)c1ccccc1Nc1ccccc1C(=O)O,O=C(O)c1ccccc1Nc1ccccc1C(=O)O
5hi7,C[NH+](CCC[N@H+](C[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N)CC[C@@H](C(=O)O)[NH3+])C,C[NH+](C)CCC[N@@H+](CC[C@H]([NH3+])C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
5ey0,O[C@@H]1[C@@H](COP(OP(OP(O)(O)O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1[nH]c(N)[nH+]c2=O,Nc1[nH]c2c(ncn2[C@@H]2O[C@H](CO[PH](O)(O)O[PH](O)(O)O[PH](O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH+]1
5duw,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@H]([C@@H]([C@H]2O)O)O)[C@@H]([C@H]([C@H]1O)OS(O)(O)O)O,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](OS(O)(O)O)[C@H]1O
3c6k,CSC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)O,CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
1zvx,COc1ccc(cc1)c1ccc(cc1)S(=O)(=O)N[C@H](P(O)(O)O)C(C)C,COc1ccc(-c2ccc(S(=O)(=O)N[C@@H](C(C)C)[PH](O)(O)O)cc2)cc1
3ch6,Cc1ccc(cc1F)c2cccc(n2)C(=O)N3CCCC(C3)(C)C,Cc1ccc(-c2cccc(C(=O)N3CCCC(C)(C)C3)n2)cc1F
3lpl,CCOP(OP(O)(O)O)(O)O,CCO[PH](O)(O)O[PH](O)(O)O
1syn,CC1=Nc2ccc3ccc(cc3c2C(=O)N1)CNc4ccc5c(c4)CN(C5=O)[C@@H](CCC(=O)O)C(=O)O,Cc1nc2ccc3ccc(CNc4ccc5c(c4)CN([C@@H](CCC(=O)O)C(=O)O)C5=O)cc3c2c(=O)[nH]1
3ru1,O=C(CCc1cc2ccccc2nc1N)NCC1CCCCC1,Nc1nc2ccccc2cc1CCC(=O)NCC1CCCCC1
2q88,OC(=O)[C@@H]1CCN=C(N1)C,CC1=NCC[C@@H](C(=O)O)N1
5chk,O=C1C=C/C(=N/Nc2ccccc2C(=O)O)/C=C1,O=C1C=CC(=NNc2ccccc2C(=O)O)C=C1
5nee,O=C(c1ncc(o1)c1ccc(s1)S(=O)(=O)N)N1CCOCC1,NS(=O)(=O)c1ccc(-c2cnc(C(=O)N3CCOCC3)o2)s1
4knm,Cc1cc(C)nc(n1)SCC(=O)c1ccc(c(c1)Cl)S(=O)(=O)N,Cc1cc(C)nc(SCC(=O)c2ccc(S(N)(=O)=O)c(Cl)c2)n1
4f7v,O=C(CNC(=O)C1=N[C@H]2C(=O)NC(=[NH+]C2=NC1(C)C)N)NCCS(=O)(=O)C[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N,CC1(C)N=C2[NH+]=C(N)NC(=O)[C@@H]2N=C1C(=O)NCC(=O)NCCS(=O)(=O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
2fv5,Cc1cc(c2ccccc2n1)COc3ccc(cc3)[C@@]4(CCN(C4=O)[C@H](C)C(=O)NO)C,Cc1cc(COc2ccc([C@]3(C)CCN([C@H](C)C(=O)NO)C3=O)cc2)c2ccccc2n1
1h23,O=c1ccc2c([nH]1)CCC[C@@H]2[NH2+]CCCCCCCCCCCC[NH2+][C@H]1CCCc2c1ccc(=O)[nH]2,O=c1ccc2c([nH]1)CCC[C@@H]2[NH2+]CCCCCCCCCCCC[NH2+][C@H]1CCCc2[nH]c(=O)ccc21
5dw2,COc1cc(OC)cc(c1C(=O)N)N,COc1cc(N)c(C(N)=O)c(OC)c1
2j94,O=C1[C@H](CCN1[C@H](C(=O)N1CCOCC1)C)NS(=O)(=O)c1nnc([nH]1)c1ccc(s1)Cl,C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)c2nnc(-c3ccc(Cl)s3)[nH]2)C1=O
6fhk,O[C@@H]1[C@@H](COP(OP(O)(O)O)(O)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[PH](O)(O)O[PH](O)(O)O)[C@@H](O)[C@H]1O
3g31,OC(=O)[C@H](N1C(=O)[C@@H]2[C@H](C1=O)[C@H]1C[C@@H]2CC1)C,C[C@H](C(=O)O)N1C(=O)[C@H]2[C@H]3CC[C@H](C3)[C@H]2C1=O
2pzi,C1CCc2c(c(c(s2)NC(=O)C3CC3)C(=O)N)C1,NC(=O)c1c(NC(=O)C2CC2)sc2c1CCCC2
3b26,Cc1nc(N)nc(c1)c1ccc2c3c1cccc3COC2,Cc1cc(-c2ccc3c4c(cccc24)COC3)nc(N)n1
1srg,OC(=O)c1ccccc1/N=N/c1ccc(c(c1)C)O,Cc1cc(/N=N/c2ccccc2C(=O)O)ccc1O
2j4k,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1
1b6k,CC[C@@H]([C@@H]1NC(=O)[C@@H]([NH2+]C[C@H]([C@@H](NC(=O)[C@@H](N2CCCC2=O)C(C)C)Cc2ccc(cc2)O)O)Cc2ccc(OCCCNC1=O)cc2)C,CC[C@H](C)[C@@H]1NC(=O)[C@@H]([NH2+]C[C@@H](O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](C(C)C)N2CCCC2=O)Cc2ccc(cc2)OCCCNC1=O
2yme,C[N@@H+]1[C@@H]2CCC[C@H]1C[C@@H](C2)NC(=O)c1nn(c2c1cccc2)C,Cn1nc(C(=O)N[C@H]2C[C@@H]3CCC[C@H](C2)[N@H+]3C)c2ccccc21
1ypj,CC[C@H]1N(Cc2ccc3c(c2)OCO3)C(=O)[C@H]2[C@@H]1C(C)(C)[N@@H+]([C@H]2c1ccc(cc1)C(=[NH2+])N)C,CC[C@@H]1[C@@H]2[C@H](C(=O)N1Cc1ccc3c(c1)OCO3)[C@H](c1ccc(C(N)=[NH2+])cc1)[N@@H+](C)C2(C)C
1g53,O=C(c1ccc(cc1)S(=O)(=O)N)NCc1c(F)cccc1F,NS(=O)(=O)c1ccc(C(=O)NCc2c(F)cccc2F)cc1
4yrd,CC(=C1C=CC=CC(=O)C1=O)C,CC(C)=C1C=CC=CC(=O)C1=O
4dko,O=C(C(=O)N[C@@H]1CC(C)(C)[N@@H+](C(C1)(C)C)C)Nc1ccc(c(c1)F)Cl,C[NH+]1C(C)(C)CC(NC(=O)C(=O)Nc2ccc(Cl)c(F)c2)CC1(C)C
4bah,OC(=O)C[NH2+][C@@H](C(=O)N1CC[C@H]1C(=O)NCc1ccc(cc1)C(=[NH2+])N)C1CCCCC1,NC(=[NH2+])c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H]([NH2+]CC(=O)O)C2CCCCC2)cc1
4ht0,Cc1cc(C)nc(n1)Sc1c(F)c(F)c(c(c1F)F)S(=O)(=O)N,Cc1cc(C)nc(Sc2c(F)c(F)c(S(N)(=O)=O)c(F)c2F)n1
4bfw,C[C@@H](c1nnc(n1Cc2ccc(cc2)F)SCCOc3ccc(cc3)F)NC(=O)c4ccccc4C(F)(F)F,C[C@H](NC(=O)c1ccccc1C(F)(F)F)c1nnc(SCCOc2ccc(F)cc2)n1Cc1ccc(F)cc1
3f8c,CCOc1ccc(cc1)c1[nH]c2c(n1)cc(cc2)c1nc2c([nH]1)cc(cc2)N1CC[NH+](CC1)C,CCOc1ccc(-c2nc3cc(-c4nc5ccc(N6CC[NH+](C)CC6)cc5[nH]4)ccc3[nH]2)cc1
3ckp,COc1cccc(c1)CN1C[C@H](NC1=O)C(=O)N[C@H]([C@@H](C[NH2+]Cc1cccc(c1)N(C)C)O)Cc1ccccc1,COc1cccc(CN2C[C@@H](C(=O)N[C@@H](Cc3ccccc3)[C@H](O)C[NH2+]Cc3cccc(N(C)C)c3)NC2=O)c1
2h12,C(C(=O)C(=O)O)C(=O)[O-],O=C([O-])CC(=O)C(=O)O
6ex1,O=C(c1ccc(cc1)S(=O)(=O)N)N1CC[NH2+][C@@H](C1)Cc1ccccc1,NS(=O)(=O)c1ccc(C(=O)N2CC[NH2+][C@H](Cc3ccccc3)C2)cc1
6ftz,[NH3+]Cc1cccc(c1)NC(=O)c1cccc2c1cc([nH]2)C(=O)N,NC(=O)c1cc2c(C(=O)Nc3cccc(C[NH3+])c3)cccc2[nH]1
5os7,[NH3+]Cc1ccc(c(c1)Cl)c1ccccc1C(C)C,CC(C)c1ccccc1-c1ccc(C[NH3+])cc1Cl
1x1z,O[C@@H]1[C@H](O)[C@H](O[C@H]1n1c(O)cc(=O)[nH]c1=O)COP(O)(O)O,O=c1cc(O)n([C@@H]2O[C@H](CO[PH](O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1
3v5t,CCOc1ccc2c(c1)ccc(c2)c1nn(c2c1c(N)ncn2)C[C@@H]([NH+](C)C)C(C)C,CCOc1ccc2cc(-c3nn(C[C@H](C(C)C)[NH+](C)C)c4ncnc(N)c34)ccc2c1
1d6w,O=C([C@@H]1C=CCn2n1c(=O)n(c2=O)CCS(=O)(=O)c1ccccc1)N[C@@H]1CC[C@H](CC1)c1cnc([nH]1)N,Nc1ncc([C@H]2CC[C@H](NC(=O)[C@@H]3C=CCn4c(=O)n(CCS(=O)(=O)c5ccccc5)c(=O)n43)CC2)[nH]1
6dsp,C[C@@]1(C([C@H](CO1)O)(O)O)O,C[C@@]1(O)OC[C@H](O)C1(O)O
2jh6,C[C@H](N1CC[C@@H](C1=O)NS(=O)(=O)CCc1ccc(s1)Cl)C(=O)N1CCOCC1,C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)CCc2ccc(Cl)s2)C1=O
3g0i,CCCC(C(=O)N)CCC,CCCC(CCC)C(N)=O
5lwm,N#C[C@@H](C(=O)N(C)C)Cc1ccc(o1)c1nc2c(n1C1CCCCC1)c1cc[nH]c1nc2,CN(C)C(=O)[C@H](C#N)Cc1ccc(-c2nc3cnc4[nH]ccc4c3n2C2CCCCC2)o1
1b6l,NC(=O)C[C@@H]1NC(=O)CCCOc2ccc(C[C@H](NC1=O)[C@@H](C[N@@H+]1CCCC[C@H]1C(=O)NC(C)(C)C)O)cc2,CC(C)(C)NC(=O)[C@@H]1CCCC[N@H+]1C[C@@H](O)[C@@H]1Cc2ccc(cc2)OCCCC(=O)N[C@@H](CC(N)=O)C(=O)N1
2i4z,CCCCCCCN(c1nc2c(o1)cccc2)CCc1ccc(cc1)O[C@](C(=O)O)(CC)C,CCCCCCCN(CCc1ccc(O[C@@](C)(CC)C(=O)O)cc1)c1nc2ccccc2o1
5ka7,O=C(C(=O)O)Nc1sc2c(c1C(=O)O)CC[NH2+]C2,O=C(O)C(=O)Nc1sc2c(c1C(=O)O)CC[NH2+]C2
4bt4,C[C@@H]([C@@](C(=O)O)(O)C)O,C[C@H](O)[C@](C)(O)C(=O)O
5evb,SC[C@@H]1SC[C@@H]2[N@H+]1[C@H](CS2)C(=O)O,O=C(O)[C@H]1CS[C@@H]2CS[C@@H](CS)[N@H+]12
1i7z,COC(=O)[C@H]1[C@H](C[C@H]2[N@@H+]([C@@H]1CC2)C)OC(=O)c1ccccc1,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1[N@H+]2C
