PDB_code,Source,Dataset
PDB_1hi4,PDBBind,TRAIN
PDB_1hi5,PDBBind,TRAIN
PDB_1hih,PDBBind,VAL
PDB_1hii,PDBBind,TRAIN
PDB_1hku,MOAD,TRAIN
PDB_1hlk,PDBBind,TEST
PDB_1hmr,PDBBind,TRAIN
PDB_1hms,PDBBind,TRAIN
PDB_1hmt,PDBBind,VAL
PDB_1hp5,PDBBind,TRAIN
PDB_1hpo,PDBBind,TEST
PDB_1hps,PDBBind,VAL
PDB_1hpv,PDBBind,TEST
PDB_1hpx,PDBBind,TRAIN
PDB_1hsh,PDBBind,TRAIN
PDB_1hvh,PDBBind,TRAIN
PDB_1hvr,PDBBind,TEST
PDB_1hwr,PDBBind,TRAIN
PDB_1hww,Iridium,TRAIN
PDB_1hxb,PDBBind,TRAIN
PDB_1hyo,PDBBind,TRAIN
PDB_1i1e,PDBBind,TEST
PDB_1i2s,PDBBind,TRAIN
PDB_1i37,PDBBind,TEST
PDB_1i4d,MOAD,TRAIN
PDB_1i5r,PDBBind,TRAIN
PDB_1i7z,PDBBind,TRAIN
PDB_1i9n,PDBBind,TRAIN
PDB_1i9p,PDBBind,TRAIN
PDB_1ie9,PDBBind,TRAIN
PDB_1if7,PDBBind,TRAIN
PDB_1if8,PDBBind,TRAIN
PDB_1igb,PDBBind,TRAIN
PDB_1igj,PDBBind,TRAIN
PDB_1iih,PDBBind,TRAIN
PDB_1ik4,PDBBind,TRAIN
PDB_1ikt,PDBBind,TRAIN
PDB_1ind,MOAD,TRAIN
PDB_1ixi,MOAD,TRAIN
PDB_1iy7,Iridium,TRAIN
PDB_1iy8,MOAD,TRAIN
PDB_1j01,PDBBind,TRAIN
PDB_1j0x,MOAD,TEST
PDB_1j14,PDBBind,TRAIN
PDB_1j16,PDBBind,TRAIN
PDB_1j17,PDBBind,TRAIN
PDB_1j36,PDBBind,TRAIN
PDB_1j37,PDBBind,TRAIN
PDB_1j4r,PDBBind,TEST
PDB_1jak,PDBBind,TRAIN
PDB_1jao,PDBBind,TRAIN
PDB_1jaq,PDBBind,TRAIN
PDB_1jcx,PDBBind,TRAIN
PDB_1jd0,Iridium,VAL
PDB_1jgl,PDBBind,TRAIN
PDB_1jje,MOAD,TRAIN
PDB_1jmf,PDBBind,TRAIN
PDB_1jmg,PDBBind,TEST
PDB_1jn4,PDBBind,TRAIN
PDB_1joc,MOAD,TEST
PDB_1jq3,MOAD,TRAIN
PDB_1jqd,MOAD,TRAIN
PDB_1jqy,PDBBind,TEST
PDB_1jsv,PDBBind,TRAIN
PDB_1jt1,MOAD,TRAIN
PDB_1jvu,PDBBind,VAL
PDB_1jys,PDBBind,TEST
PDB_1jzn,MOAD,TEST
PDB_1jzs,PDBBind,TRAIN
PDB_1k1i,PDBBind,VAL
PDB_1k1j,PDBBind,TRAIN
PDB_1k1l,PDBBind,VAL
PDB_1k1m,PDBBind,TRAIN
PDB_1k1n,PDBBind,TRAIN
PDB_1k1o,PDBBind,TRAIN
PDB_1k21,PDBBind,TRAIN
PDB_1k22,PDBBind,TRAIN
PDB_1k27,PDBBind,TRAIN
PDB_1k4g,PDBBind,TRAIN
PDB_1k4h,PDBBind,TRAIN
PDB_1k6c,PDBBind,TRAIN
PDB_1k6p,PDBBind,TRAIN
PDB_1k6t,PDBBind,TRAIN
PDB_1k6v,PDBBind,TRAIN
PDB_1k9s,PDBBind,TRAIN
PDB_1kav,PDBBind,TRAIN
PDB_1kc7,PDBBind,TRAIN
PDB_1kdk,PDBBind,TRAIN
PDB_1ke5,Iridium,TEST
PDB_1kel,PDBBind,TRAIN
PDB_1kjr,PDBBind,TRAIN
PDB_1km3,PDBBind,VAL
PDB_1kmy,PDBBind,TEST
PDB_1koj,PDBBind,VAL
PDB_1kpm,PDBBind,TRAIN
PDB_1kqb,MOAD,TRAIN
PDB_1kr3,MOAD,TRAIN
PDB_1ksn,PDBBind,TRAIN
PDB_1kv1,PDBBind,TRAIN
PDB_1kv5,PDBBind,TRAIN
PDB_1kyv,PDBBind,VAL
PDB_1kzk,PDBBind,TRAIN
PDB_1l2s,Iridium,TRAIN
PDB_1l2t,MOAD,TRAIN
PDB_1l83,PDBBind,TRAIN
PDB_1l8b,MOAD,TRAIN
PDB_1l8g,PDBBind,TRAIN
PDB_1lah,PDBBind,TRAIN
PDB_1lbf,PDBBind,VAL
PDB_1lbk,PDBBind,TRAIN
PDB_1lcp,PDBBind,TEST
PDB_1lee,PDBBind,TRAIN
PDB_1lf2,PDBBind,TRAIN
PDB_1lgt,PDBBind,TEST
PDB_1lgw,PDBBind,TRAIN
PDB_1lhu,PDBBind,TRAIN
PDB_1li2,PDBBind,VAL
PDB_1li3,PDBBind,TRAIN
PDB_1li6,PDBBind,TRAIN
PDB_1lke,PDBBind,TRAIN
PDB_1lnm,PDBBind,TRAIN
PDB_1lor,MOAD,TRAIN
PDB_1lox,MOAD,TRAIN
PDB_1lpg,PDBBind,TRAIN
PDB_1lpk,PDBBind,TRAIN
PDB_1lpz,Iridium,TRAIN
PDB_1lqd,Iridium,TRAIN
PDB_1lrh,Iridium,TRAIN
PDB_1lvu,PDBBind,TRAIN
PDB_1lyx,PDBBind,TRAIN
PDB_1m0n,PDBBind,TRAIN
PDB_1m0o,PDBBind,TEST
PDB_1m0q,PDBBind,TRAIN
PDB_1m1b,PDBBind,TRAIN
PDB_1m2p,PDBBind,TRAIN
PDB_1m2q,PDBBind,TRAIN
PDB_1m2r,PDBBind,TRAIN
PDB_1m2x,PDBBind,TRAIN
PDB_1m48,PDBBind,TRAIN
PDB_1m5w,PDBBind,TRAIN
PDB_1m6p,MOAD,TEST
PDB_1m7d,PDBBind,TRAIN
PDB_1m7y,PDBBind,TRAIN
PDB_1mai,PDBBind,TRAIN
PDB_1me8,MOAD,TRAIN
PDB_1mes,PDBBind,TRAIN
PDB_1met,PDBBind,TEST
PDB_1mfa,PDBBind,TRAIN
PDB_1mfd,PDBBind,TRAIN
PDB_1mfi,PDBBind,VAL
PDB_1mh5,PDBBind,TRAIN
PDB_1mjj,PDBBind,TRAIN
PDB_1ml1,Iridium,TRAIN
PDB_1mmq,PDBBind,TRAIN
PDB_1mmr,PDBBind,VAL
PDB_1moq,PDBBind,TEST
PDB_1mq5,PDBBind,TRAIN
PDB_1mq6,Iridium,TEST
PDB_1mrs,PDBBind,TRAIN
PDB_1mrw,PDBBind,TRAIN
PDB_1mrx,PDBBind,VAL
PDB_1msm,PDBBind,TRAIN
PDB_1msn,PDBBind,TEST
PDB_1mtr,PDBBind,TRAIN
PDB_1mu6,PDBBind,VAL
PDB_1mu8,PDBBind,TRAIN
PDB_1mue,PDBBind,TRAIN
PDB_1my4,PDBBind,VAL
PDB_1mzc,MOAD,TRAIN
PDB_1n0s,PDBBind,TRAIN
PDB_1n1m,Iridium,TRAIN
PDB_1n1v,MOAD,TRAIN
PDB_1n2v,Iridium,TRAIN
PDB_1n3i,PDBBind,TRAIN
PDB_1n46,Iridium,TRAIN
PDB_1n4h,PDBBind,TRAIN
PDB_1n4k,PDBBind,TRAIN
PDB_1n5r,PDBBind,TEST
PDB_1nc1,PDBBind,TRAIN
PDB_1nc3,PDBBind,TRAIN
PDB_1ndv,PDBBind,TRAIN
PDB_1ndw,PDBBind,TRAIN
PDB_1ndz,PDBBind,TRAIN
PDB_1nf3,MOAD,TRAIN
PDB_1nf8,PDBBind,TRAIN
PDB_1nfs,MOAD,TRAIN
PDB_1nfu,PDBBind,TRAIN
PDB_1nfw,PDBBind,TRAIN
PDB_1nfx,PDBBind,TRAIN
PDB_1nfy,PDBBind,TRAIN
PDB_1nhu,PDBBind,TEST
PDB_1nhx,MOAD,TRAIN
PDB_1nhz,PDBBind,TRAIN
PDB_1nja,PDBBind,TRAIN
PDB_1njc,PDBBind,TRAIN
PDB_1njd,PDBBind,TRAIN
PDB_1nje,PDBBind,TRAIN
PDB_1njf,MOAD,TRAIN
PDB_1njj,MOAD,VAL
PDB_1njs,PDBBind,TRAIN
PDB_1nki,PDBBind,TRAIN
PDB_1nl9,PDBBind,VAL
PDB_1nli,PDBBind,VAL
PDB_1nm5,MOAD,VAL
PDB_1nm6,PDBBind,TRAIN
PDB_1nnu,MOAD,TRAIN
PDB_1no6,PDBBind,TEST
PDB_1nox,MOAD,TEST
PDB_1np0,PDBBind,TRAIN
PDB_1nq7,PDBBind,TRAIN
PDB_1nt1,PDBBind,VAL
PDB_1nw4,PDBBind,VAL
PDB_1nw7,PDBBind,TRAIN
PDB_1nwl,PDBBind,TRAIN
PDB_1nz7,PDBBind,TRAIN
PDB_1nzq,MOAD,TRAIN
PDB_1o0d,MOAD,TRAIN
PDB_1o0f,PDBBind,TRAIN
PDB_1o0h,PDBBind,TRAIN
PDB_1o0m,PDBBind,TRAIN
PDB_1o0n,PDBBind,TRAIN
PDB_1o1s,PDBBind,TRAIN
PDB_1o2h,PDBBind,VAL
PDB_1o2j,PDBBind,TRAIN
PDB_1o2n,PDBBind,TRAIN
PDB_1o2o,PDBBind,TEST
PDB_1o2q,PDBBind,TEST
PDB_1o2r,PDBBind,TRAIN
PDB_1o2w,PDBBind,TRAIN
PDB_1o2z,PDBBind,TRAIN
PDB_1o30,PDBBind,TRAIN
PDB_1o33,PDBBind,TRAIN
PDB_1o35,PDBBind,VAL
PDB_1o38,PDBBind,TRAIN
PDB_1o3d,PDBBind,TRAIN
PDB_1o3f,PDBBind,TRAIN
PDB_1o3i,PDBBind,TRAIN
PDB_1o3j,PDBBind,TRAIN
PDB_1o3l,PDBBind,TRAIN
PDB_1o5a,PDBBind,TRAIN
PDB_1o5c,PDBBind,TRAIN
PDB_1o5e,PDBBind,TRAIN
PDB_1o5g,PDBBind,VAL
PDB_1o5r,PDBBind,TRAIN
PDB_1o7o,PDBBind,TRAIN
PDB_1o86,PDBBind,TRAIN
PDB_1o8b,MOAD,TRAIN
PDB_1o9w,MOAD,TRAIN
PDB_1oar,PDBBind,TRAIN
PDB_1oba,PDBBind,TEST
PDB_1obv,MOAD,TRAIN
PDB_1ocq,PDBBind,TRAIN
PDB_1od8,PDBBind,TRAIN
PDB_1odi,PDBBind,TRAIN
PDB_1odj,PDBBind,TRAIN
PDB_1oe0,MOAD,VAL
PDB_1oe8,PDBBind,TRAIN
PDB_1ogd,PDBBind,TRAIN
PDB_1ogg,PDBBind,TEST
PDB_1ogx,PDBBind,TRAIN
PDB_1ogz,PDBBind,TRAIN
PDB_1ohr,PDBBind,TRAIN
PDB_1oif,PDBBind,TRAIN
PDB_1okl,PDBBind,VAL
PDB_1om1,PDBBind,TRAIN
PDB_1ony,PDBBind,TRAIN
PDB_1onz,PDBBind,TRAIN
PDB_1opb,MOAD,TEST
PDB_1oq5,Iridium,TRAIN
PDB_1ork,PDBBind,TRAIN
PDB_1os5,PDBBind,TRAIN
PDB_1oss,PDBBind,TRAIN
PDB_1ovd,MOAD,TEST
PDB_1owb,MOAD,TRAIN
PDB_1owe,PDBBind,TRAIN
PDB_1owh,PDBBind,TRAIN
PDB_1oxr,PDBBind,TRAIN
PDB_1oyq,PDBBind,TRAIN
PDB_1oyt,Iridium,VAL
PDB_1p19,PDBBind,TRAIN
PDB_1p1n,PDBBind,TRAIN
PDB_1p1o,PDBBind,TRAIN
PDB_1p1q,PDBBind,TRAIN
PDB_1p57,PDBBind,TRAIN
PDB_1p6d,MOAD,TRAIN
PDB_1p9p,MOAD,TEST
PDB_1pa9,PDBBind,TRAIN
PDB_1pb8,PDBBind,TRAIN
PDB_1pb9,PDBBind,TRAIN
PDB_1pbq,PDBBind,TRAIN
PDB_1pdz,PDBBind,TEST
PDB_1pfu,PDBBind,TRAIN
PDB_1pfy,MOAD,TRAIN
PDB_1pgp,PDBBind,TRAIN
PDB_1phw,PDBBind,VAL
PDB_1pig,MOAD,TRAIN
PDB_1pkx,PDBBind,TRAIN
PDB_1pme,PDBBind,VAL
PDB_1pmn,Iridium,TRAIN
PDB_1pot,PDBBind,TRAIN
PDB_1ppc,PDBBind,VAL
PDB_1pph,PDBBind,TRAIN
PDB_1ppk,PDBBind,TRAIN
PDB_1ppl,PDBBind,TRAIN
PDB_1pr5,PDBBind,TRAIN
PDB_1pro,PDBBind,TRAIN
PDB_1ps3,PDBBind,TRAIN
PDB_1pu7,MOAD,TEST
PDB_1pvn,PDBBind,TRAIN
PDB_1px4,PDBBind,TRAIN
PDB_1pxn,PDBBind,TEST
PDB_1pxo,PDBBind,VAL
PDB_1pxp,PDBBind,TRAIN
PDB_1pyn,PDBBind,TEST
PDB_1pzg,MOAD,TRAIN
PDB_1pzi,PDBBind,TRAIN
PDB_1pzp,PDBBind,TRAIN
PDB_1q0h,MOAD,TRAIN
PDB_1q0y,MOAD,TRAIN
PDB_1q1g,PDBBind,TRAIN
PDB_1q41,Iridium,TRAIN
PDB_1q54,PDBBind,TEST
PDB_1q5k,PDBBind,TRAIN
PDB_1q65,PDBBind,TRAIN
PDB_1q72,PDBBind,TRAIN
PDB_1q7a,PDBBind,TRAIN
PDB_1q8t,PDBBind,TEST
PDB_1q8u,PDBBind,TRAIN
PDB_1q8w,PDBBind,TRAIN
PDB_1q91,PDBBind,TRAIN
PDB_1qan,PDBBind,TRAIN
PDB_1qb1,PDBBind,TRAIN
PDB_1qb6,PDBBind,TRAIN
PDB_1qb9,PDBBind,TEST
PDB_1qbn,PDBBind,TRAIN
PDB_1qbo,PDBBind,TRAIN
PDB_1qbq,PDBBind,TRAIN
PDB_1qbs,PDBBind,TRAIN
PDB_1qbu,PDBBind,TRAIN
PDB_1qbv,PDBBind,VAL
PDB_1qca,MOAD,TEST
PDB_1qds,MOAD,VAL
PDB_1qf0,PDBBind,TRAIN
PDB_1qf1,PDBBind,TRAIN
PDB_1qf2,PDBBind,TRAIN
PDB_1qf5,MOAD,TRAIN
PDB_1qft,PDBBind,TEST
PDB_1qg6,MOAD,TRAIN
PDB_1qin,PDBBind,TRAIN
PDB_1qk3,PDBBind,TRAIN
PDB_1qk4,PDBBind,TRAIN
PDB_1qkt,PDBBind,VAL
PDB_1ql7,PDBBind,TRAIN
PDB_1ql9,PDBBind,TRAIN
PDB_1qpb,MOAD,TRAIN
PDB_1qxk,PDBBind,VAL
PDB_1qxw,MOAD,TRAIN
PDB_1qy1,PDBBind,TRAIN
PDB_1qy2,PDBBind,TRAIN
PDB_1qyg,PDBBind,TRAIN
PDB_1qzy,MOAD,TRAIN
PDB_1r0x,MOAD,VAL
PDB_1r1h,PDBBind,TRAIN
PDB_1r1j,PDBBind,TRAIN
PDB_1r37,MOAD,TRAIN
PDB_1r5y,PDBBind,TRAIN
PDB_1r9l,PDBBind,TRAIN
PDB_1rbo,MOAD,TRAIN
PDB_1rbp,PDBBind,TRAIN
PDB_1rd4,PDBBind,TRAIN
PDB_1rdt,MOAD,TEST
PDB_1re8,MOAD,TRAIN
PDB_1re9,MOAD,VAL
PDB_1riw,MOAD,TRAIN
PDB_1rjk,PDBBind,TRAIN
PDB_1rm0,MOAD,TRAIN
PDB_1rmz,PDBBind,TRAIN
PDB_1rnm,PDBBind,TEST
PDB_1rnt,PDBBind,TRAIN
PDB_1ro6,PDBBind,VAL
PDB_1rp7,PDBBind,TRAIN
PDB_1rpj,PDBBind,TRAIN
PDB_1rql,PDBBind,TRAIN
PDB_1rr6,PDBBind,TRAIN
PDB_1rsd,MOAD,TRAIN
PDB_1rtf,PDBBind,VAL
